STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
RAND,H,12,REL HUM,20250120 0000,20250120 0000,91, ,  %
RAND,H,12,REL HUM,20250120 0100,20250120 0100,90, ,  %
RAND,H,12,REL HUM,20250120 0200,20250120 0200,86, ,  %
RAND,H,12,REL HUM,20250120 0300,20250120 0300,85, ,  %
RAND,H,12,REL HUM,20250120 0400,20250120 0400,87, ,  %
RAND,H,12,REL HUM,20250120 0500,20250120 0500,90, ,  %
RAND,H,12,REL HUM,20250120 0600,20250120 0600,90, ,  %
RAND,H,12,REL HUM,20250120 0700,20250120 0700,83, ,  %
RAND,H,12,REL HUM,20250120 0800,20250120 0800,72, ,  %
RAND,H,12,REL HUM,20250120 0900,20250120 0900,63, ,  %
RAND,H,12,REL HUM,20250120 1000,20250120 1000,50, ,  %
RAND,H,12,REL HUM,20250120 1100,20250120 1100,34, ,  %
RAND,H,12,REL HUM,20250120 1200,20250120 1200,27, ,  %
RAND,H,12,REL HUM,20250120 1300,20250120 1300,33, ,  %
RAND,H,12,REL HUM,20250120 1400,20250120 1400,10, ,  %
RAND,H,12,REL HUM,20250120 1500,20250120 1500,9, ,  %
RAND,H,12,REL HUM,20250120 1600,20250120 1600,8, ,  %
RAND,H,12,REL HUM,20250120 1700,20250120 1700,8, ,  %
RAND,H,12,REL HUM,20250120 1800,20250120 1800,10, ,  %
RAND,H,12,REL HUM,20250120 1900,20250120 1900,10, ,  %
RAND,H,12,REL HUM,20250120 2000,20250120 2000,10, ,  %
RAND,H,12,REL HUM,20250120 2100,20250120 2100,10, ,  %
RAND,H,12,REL HUM,20250120 2200,20250120 2200,9, ,  %
RAND,H,12,REL HUM,20250120 2300,20250120 2300,8, ,  %
RAND,H,12,REL HUM,20250121 0000,20250121 0000,8, ,  %
RAND,H,12,REL HUM,20250121 0100,20250121 0100,6, ,  %
RAND,H,12,REL HUM,20250121 0200,20250121 0200,6, ,  %
RAND,H,12,REL HUM,20250121 0300,20250121 0300,7, ,  %
RAND,H,12,REL HUM,20250121 0400,20250121 0400,8, ,  %
RAND,H,12,REL HUM,20250121 0500,20250121 0500,7, ,  %
RAND,H,12,REL HUM,20250121 0600,20250121 0600,8, ,  %
RAND,H,12,REL HUM,20250121 0700,20250121 0700,8, ,  %
RAND,H,12,REL HUM,20250121 0800,20250121 0800,6, ,  %
RAND,H,12,REL HUM,20250121 0900,20250121 0900,4, ,  %
RAND,H,12,REL HUM,20250121 1000,20250121 1000,3, ,  %
RAND,H,12,REL HUM,20250121 1100,20250121 1100,3, ,  %
RAND,H,12,REL HUM,20250121 1200,20250121 1200,3, ,  %
RAND,H,12,REL HUM,20250121 1300,20250121 1300,4, ,  %
RAND,H,12,REL HUM,20250121 1500,20250121 1500,3, ,  %
RAND,H,12,REL HUM,20250121 1600,20250121 1600,3, ,  %
RAND,H,12,REL HUM,20250121 1700,20250121 1700,4, ,  %
RAND,H,12,REL HUM,20250121 1800,20250121 1800,5, ,  %
RAND,H,12,REL HUM,20250121 1900,20250121 1900,5, ,  %
RAND,H,12,REL HUM,20250121 2000,20250121 2000,5, ,  %
RAND,H,12,REL HUM,20250121 2100,20250121 2100,7, ,  %
RAND,H,12,REL HUM,20250121 2200,20250121 2200,8, ,  %
RAND,H,12,REL HUM,20250121 2300,20250121 2300,9, ,  %
RAND,H,12,REL HUM,20250122 0000,20250122 0000,8, ,  %
RAND,H,12,REL HUM,20250122 0100,20250122 0100,9, ,  %
RAND,H,12,REL HUM,20250122 0200,20250122 0200,8, ,  %
RAND,H,12,REL HUM,20250122 0300,20250122 0300,7, ,  %
RAND,H,12,REL HUM,20250122 0400,20250122 0400,7, ,  %
RAND,H,12,REL HUM,20250122 0500,20250122 0500,7, ,  %
RAND,H,12,REL HUM,20250122 0600,20250122 0600,8, ,  %
RAND,H,12,REL HUM,20250122 0700,20250122 0700,8, ,  %
RAND,H,12,REL HUM,20250122 0800,20250122 0800,7, ,  %
RAND,H,12,REL HUM,20250122 0900,20250122 0900,6, ,  %
RAND,H,12,REL HUM,20250122 1000,20250122 1000,5, ,  %
RAND,H,12,REL HUM,20250122 1100,20250122 1100,5, ,  %
